ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
195;9720201;MSC DOMITILLE;BERÇO 216;18/11/2024 09:40;19/11/2024 02:40;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
196;9970002;GREENLAND;BERÇO 216;19/11/2024 06:10;19/11/2024 13:55;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
197;9723253;BREMERHAVEN EXPRESS;BERÇO 216;17/11/2024 12:00;18/11/2024 09:10;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
198;9938248;CMA CGM BAHIA;BERÇO 216;19/11/2024 15:00;20/11/2024 15:00;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
199;9214214;GSL ARCADIA;BERÇO 216;20/11/2024 15:32;21/11/2024 12:23;Full Conteiner;MAERSK LINE A/S;Exportação
200;9706205;CAPE TAINARO;BERÇO 216;21/11/2024 14:05;22/11/2024 18:50;Full Conteiner;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Exportação & Importação
201;9306196;PALENA;BERÇO 216;22/11/2024 19:45;23/11/2024 16:30;Full Conteiner;HAPAG LLOYD AKTIENGESELLSCHATT;Exportação & Importação
202;9727625;CAPE SOUNIO;BERÇO 216;23/11/2024 16:55;24/11/2024 08:25;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
203;9622253;SAN RAPHAEL MAERSK;BERÇO 216;24/11/2024 11:40;25/11/2024 10:48;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
204;9952830;CMA CGM WISDOM;BERÇO 216;25/11/2024 12:14;26/11/2024 12:21;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
205;9778088;MSC MADHU B;BERÇO 216;27/11/2024 19:40;28/11/2024 14:55;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
206;9619426;MSC ALTAMIRA;BERÇO 216;28/11/2024 15:30;29/11/2024 14:40;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
207;9218686;CMA CGM HONG KONG;BERÇO 216;30/11/2024 15:30;01/12/2024 02:50;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
208;9526904;MAERSK LUZ;BERÇO 216;01/12/2024 21:15;02/12/2024 13:28;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
209;9727613;CAPE KORTIA;BERÇO 216;02/12/2024 13:45;03/12/2024 15:40;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
210;9625530;HYUNDAI PREMIUM;BERÇO 218;10/10/2024 01:30;10/10/2024 11:50;Full Conteiner;HMM CO., LTD.;Exportação & Importação
211;9964194;MSC MARIAGRAZIA;BERÇO 218;10/10/2024 15:15;11/10/2024 07:00;Full Conteiner;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Exportação & Importação
212;9622215;SAN MARCO MAERSK;BERÇO 218;11/10/2024 11:42;11/10/2024 20:25;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
213;9938274;CMA CGM SAO PAULO;BERÇO 218;12/10/2024 04:12;12/10/2024 19:54;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
214;9953391;IRENES WISDOM;BERÇO 218;12/10/2024 20:15;13/10/2024 18:15;Full Conteiner;HAPAG LLOYD AKTIENGESELLSCHATT;Exportação & Importação
215;9850903;EVER FULL;BERÇO 218;13/10/2024 18:30;14/10/2024 08:50;Full Conteiner;EVERGREEN LINE;Exportação & Importação
216;9718947;ATACAMA;BERÇO 218;13/10/2024 12:44;13/10/2024 21:55;Full Conteiner;NSC SHIPPING GMBH & CIE. KG.;Exportação & Importação
217;9777618;CARTAGENA EXPRESS;BERÇO 218;14/10/2024 18:20;15/10/2024 07:25;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
218;9285691;MSC VANCOUVER;BERÇO 218;15/10/2024 07:55;16/10/2024 03:15;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
219;9526966;MAERSK LEON;BERÇO 218;16/10/2024 03:50;17/10/2024 01:52;Full Conteiner;A.P MOLLER SINGAPORE PTE LTD.;Exportação & Importação
220;9525950;ALS VESTA;BERÇO 218;17/10/2024 01:50;17/10/2024 10:45;Full Conteiner;ZIM INTEGRATED SHIPPING SERVICE;Exportação & Importação
221;9612765;NC BREDA;BERÇO 218;17/10/2024 12:30;18/10/2024 05:50;Full Conteiner;NILE DUTCH AFRICA LINE BV;Exportação & Importação
222;9330707;HYUNDAI FORWARD;BERÇO 218;18/10/2024 06:15;18/10/2024 15:25;Full Conteiner;HMM CO., LTD.;Exportação & Importação
223;9622203;SAN NICOLAS MAERSK;BERÇO 218;18/10/2024 16:17;19/10/2024 03:05;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
224;9595503;EVER LEADER;BERÇO 218;19/10/2024 17:20;20/10/2024 09:50;Full Conteiner;EVERGREEN;Exportação & Importação
225;9622239;SAN AUGUSTIN MAERSK;BERÇO 218;21/10/2024 07:53;22/10/2024 04:45;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
226;9527063;MAERSK LABREA;BERÇO 218;20/10/2024 18:52;21/10/2024 07:29;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
227;9288394;PL GERMANY;BERÇO 218;22/10/2024 23:26;23/10/2024 14:22;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
228;9706308;CMA CGM AMAZON;BERÇO 218;23/10/2024 16:15;24/10/2024 16:40;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
229;9618317;MSC ATHOS;BERÇO 218;24/10/2024 17:00;25/10/2024 08:50;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
